"date","zip_code","psps_abs","psps_hybrid"
2019-06-09,95916,1,1
2019-06-09,95917,1,1
2019-06-09,95918,1,1
2019-06-09,95972,1,1
2019-06-09,95919,1,1
2019-06-09,95928,1,1
2019-06-09,95929,1,1
2019-06-09,95935,1,1
2019-06-09,95938,1,1
2019-06-09,95942,1,1
2019-06-09,95954,1,1
2019-06-09,95962,1,1
2019-06-09,95940,1,1
2019-06-09,95958,1,1
2019-06-09,95965,1,1
2019-06-09,95966,1,1
2019-06-09,95968,1,1
2019-06-09,95967,1,1
2019-06-09,95969,1,1
2019-06-09,95927,1,1
2019-06-09,95973,1,1
2019-06-09,95978,1,1
2019-09-23,94515,1,1
2019-09-23,94534,1,1
2019-09-23,94558,1,1
2019-09-23,94562,1,1
2019-09-23,94567,1,1
2019-09-23,94574,1,1
2019-09-23,95403,1,1
2019-09-23,95402,1,1
2019-09-23,95404,1,1
2019-09-23,95406,1,1
2019-09-23,95409,1,1
2019-09-23,95439,1,1
2019-09-23,95448,1,1
2019-09-23,95461,1,1
2019-09-23,95492,1,1
2019-09-23,95607,1,1
2019-09-23,95631,1,1
2019-09-23,95901,1,1
2019-09-23,95914,1,1
2019-09-23,95916,1,1
2019-09-23,95917,1,1
2019-09-23,95918,1,1
2019-09-23,95972,1,1
2019-09-23,95919,1,1
2019-09-23,95922,1,1
2019-09-23,95925,1,1
2019-09-23,95928,1,1
2019-09-23,95929,1,1
2019-09-23,95930,1,1
2019-09-23,95935,1,1
2019-09-23,95941,1,1
2019-09-23,95942,1,1
2019-09-23,95712,1,1
2019-09-23,95924,1,1
2019-09-23,95945,1,1
2019-09-23,95946,1,1
2019-09-23,95949,1,1
2019-09-23,95954,1,1
2019-09-23,95959,1,1
2019-09-23,95962,1,1
2019-09-23,95940,1,1
2019-09-23,95958,1,1
2019-09-23,95965,1,1
2019-09-23,95966,1,1
2019-09-23,95968,1,1
2019-09-23,95967,1,1
2019-09-23,95969,1,1
2019-09-23,95927,1,1
2019-09-23,95973,1,1
