"geoid","psps_event_id","total_customers_impacted","outage_start","outage_end","duration","pop","pct_cust_out","hybrid"
"06111000600","SCE_2019/10/21",100.398280311513,2019-10-23 23:47:00,2019-10-28 19:02:00,115.25,7052.84240938537,0.0142351515153537,1.42918473211533
"06111000600","SCE_2019/10/27",344.946329470351,2019-10-27 03:57:00,2019-11-03 17:28:00,182.516666666667,7052.84240938537,0.0489088383729266,16.8709242753997
"06111000600","SCE_2020/11/29",6.35702284342744,2020-12-02 17:20:50,2020-12-04 18:30:00,49.1527777777778,7052.84240938537,0.000901341966037411,0.00572985146783962
"06111000600","SCE_2020/12/04",4.98059467053738,2020-12-07 05:29:00,2020-12-11 11:45:00,102.266666666667,7052.84240938537,0.000706182611412046,0.00351720935082501
"06111000600","SCE_2020/12/16",7.40528795275962,2020-12-18 09:47:00,2020-12-24 16:03:00,150.266666666667,7052.84240938537,0.00104997212796152,0.00777534594992684
"06111000600","SCE_2021/01/12",5.00292917578643,2021-01-14 04:13:00,2021-01-21 18:01:00,181.8,7052.84240938537,0.000709349349579813,0.00354882455683797
"06111000600","SCE_2021/11/21",0.0893380209961863,2021-11-21 05:41:00,2021-11-22 13:45:00,32.0666666666667,7052.84240938537,1.26669526710681e-05,1.13164048368558e-06
"06111000600","SCE_2021/11/24",12.5046866433295,2021-11-24 11:58:00,2021-11-26 19:48:00,55.8333333333333,7052.84240938537,0.00177299958194007,0.0221708041909148
"06111000701","SCE_2019/10/21",0.19281778986993,2019-10-23 23:47:00,2019-10-28 19:02:00,115.25,7209.76830582321,2.67439648114898e-05,5.15671218731066e-06
"06111000701","SCE_2019/10/27",18.8260278473005,2019-10-27 03:57:00,2019-11-03 17:28:00,182.516666666667,7209.76830582321,0.00261118347341273,0.0491582127848789
"06111000701","SCE_2020/12/16",0.806328939456073,2020-12-18 09:47:00,2020-12-24 16:03:00,150.266666666667,7209.76830582321,0.000111838398302594,9.01785370937963e-05
"06111000701","SCE_2021/11/24",0.858915609420599,2021-11-24 11:58:00,2021-11-26 19:48:00,55.8333333333333,7209.76830582321,0.000119132206887546,0.000102324512080437
"06111000800","SCE_2019/10/02",628.825750422972,2019-10-09 13:35:00,2019-10-12 14:23:00,72.8,9746.46857981298,0.0645183170985032,40.5707791654936
"06111000800","SCE_2019/10/21",628.549352682598,2019-10-23 23:47:00,2019-10-28 19:02:00,115.25,9746.46857981298,0.0644899583408557,40.5351215696725
"06111000800","SCE_2019/10/27",1409.45715697433,2019-10-27 03:57:00,2019-11-03 17:28:00,182.516666666667,9746.46857981298,0.144612086463154,203.824540250484
"06111000800","SCE_2020/11/29",269.188026503166,2020-12-02 17:20:50,2020-12-04 18:30:00,49.1527777777778,9746.46857981298,0.0276190318881971,7.43471268791179
"06111000800","SCE_2020/12/04",336.241123202783,2020-12-07 05:29:00,2020-12-11 11:45:00,102.266666666667,9746.46857981298,0.0344987643934142,11.5999032887498
"06111000800","SCE_2020/12/16",7.01278640177494,2020-12-18 09:47:00,2020-12-24 16:03:00,150.266666666667,9746.46857981298,0.00071952075198805,0.00504584534533668
"06111000800","SCE_2021/01/12",304.762890869698,2021-01-14 04:13:00,2021-01-21 18:01:00,181.8,9746.46857981298,0.0312690579540704,9.52964849685463
"06111000800","SCE_2021/11/21",0.697546360128086,2021-11-21 05:41:00,2021-11-22 13:45:00,32.0666666666667,9746.46857981298,7.1569138546535e-05,4.99227920906382e-05
"06111000800","SCE_2021/11/24",43.5150919937268,2021-11-24 11:58:00,2021-11-26 19:48:00,55.8333333333333,9746.46857981298,0.00446470346027235,0.194281981798462
"06111000901","SCE_2020/12/04",731.914073721455,2020-12-07 05:29:00,2020-12-11 11:45:00,102.266666666667,2576.46047559676,0.284077353661686,207.920213170535
"06111000902","SCE_2019/10/02",164.348625864152,2019-10-09 13:35:00,2019-10-12 14:23:00,72.8,2145.63115705986,0.0765968676971289,12.5885899515214
"06111000902","SCE_2019/10/21",164.486675948876,2019-10-23 23:47:00,2019-10-28 19:02:00,115.25,2145.63115705986,0.0766612077791928,12.6097472418255
"06111000902","SCE_2019/10/27",337.187331938842,2019-10-27 03:57:00,2019-11-03 17:28:00,182.516666666667,2145.63115705986,0.15715065044119,52.9892085347185
"06111000902","SCE_2020/11/29",1.38050084724193,2020-12-02 17:20:50,2020-12-04 18:30:00,49.1527777777778,2145.63115705986,0.00064340082063947,0.000888215378008941
"06111000902","SCE_2020/12/04",258.169388443475,2020-12-07 05:29:00,2020-12-11 11:45:00,102.266666666667,2145.63115705986,0.120323284640051,31.0637888110321
"06111000902","SCE_2020/12/16",1.38050084724193,2020-12-18 09:47:00,2020-12-24 16:03:00,150.266666666667,2145.63115705986,0.00064340082063947,0.000888215378008941
"06111000902","SCE_2021/01/12",15.4616094891096,2021-01-14 04:13:00,2021-01-21 18:01:00,181.8,2145.63115705986,0.00720608919116206,0.111417737017442
"06111000902","SCE_2021/11/21",0.276100169448386,2021-11-21 05:41:00,2021-11-22 13:45:00,32.0666666666667,2145.63115705986,0.000128680164127894,3.55286151203577e-05
"06111000902","SCE_2021/11/24",15.737709658558,2021-11-24 11:58:00,2021-11-26 19:48:00,55.8333333333333,2145.63115705986,0.00733476935528995,0.115432470526042
"06111000903","SCE_2019/10/02",612.960206244424,2019-10-09 13:35:00,2019-10-12 14:23:00,72.8,5478.94832376078,0.111875522458603,68.575243319928
"06111000903","SCE_2019/10/21",613.475082520144,2019-10-23 23:47:00,2019-10-28 19:02:00,115.25,5478.94832376078,0.111969496017997,68.6904958093797
"06111000903","SCE_2019/10/27",1257.58530344562,2019-10-27 03:57:00,2019-11-03 17:28:00,182.516666666667,5478.94832376078,0.229530418819939,288.654081401673
"06111000903","SCE_2020/11/29",5.14876275719802,2020-12-02 17:20:50,2020-12-04 18:30:00,49.1527777777778,5478.94832376078,0.000939735593940387,0.00483847562769363
"06111000903","SCE_2020/12/04",691.011615128018,2020-12-07 05:29:00,2020-12-11 11:45:00,102.266666666667,5478.94832376078,0.126121214199316,87.1512239257761
"06111000903","SCE_2020/12/16",5.14876275719802,2020-12-18 09:47:00,2020-12-24 16:03:00,150.266666666667,5478.94832376078,0.000939735593940387,0.00483847562769363
"06111000903","SCE_2021/01/12",57.6661428806178,2021-01-14 04:13:00,2021-01-21 18:01:00,181.8,5478.94832376078,0.0105250386521323,0.606938382737888
"06111000903","SCE_2021/11/21",1.0297525514396,2021-11-21 05:41:00,2021-11-22 13:45:00,32.0666666666667,5478.94832376078,0.000187947118788077,0.000193539025107745
"06111000903","SCE_2021/11/24",58.6958954320574,2021-11-24 11:58:00,2021-11-26 19:48:00,55.8333333333333,5478.94832376078,0.0107129857709204,0.628808292575064
"06111001002","SCE_2020/12/04",99.4692411303212,2020-12-07 05:29:00,2020-12-11 11:45:00,102.266666666667,6526.50404384895,0.0152408150614827,1.51599230837326
"06111001102","SCE_2020/12/04",11.924857352179,2020-12-07 05:29:00,2020-12-11 11:45:00,102.266666666667,3574.85581938285,0.00333575896614418,0.0397784498325216
"06111001201","SCE_2019/10/27",23.6537528168831,2019-10-27 03:57:00,2019-11-03 17:28:00,182.516666666667,5940.20758807601,0.00398197410884497,0.0941886312938472
"06111001201","SCE_2020/11/29",23.8845211370478,2020-12-02 17:20:50,2020-12-04 18:30:00,49.1527777777778,5940.20758807601,0.00402082263673614,0.0960354232554446
"06111001201","SCE_2020/12/04",23.8845211370478,2020-12-07 05:29:00,2020-12-11 11:45:00,102.266666666667,5940.20758807601,0.00402082263673614,0.0960354232554446
"06111001201","SCE_2021/01/12",23.8845211370478,2021-01-14 04:13:00,2021-01-21 18:01:00,181.8,5940.20758807601,0.00402082263673614,0.0960354232554446
"06111001204","SCE_2019/10/27",123.213105086413,2019-10-27 03:57:00,2019-11-03 17:28:00,182.516666666667,2573.614036641,0.047875517980632,5.89889122801405
"06111001204","SCE_2020/11/29",124.415184160427,2020-12-02 17:20:50,2020-12-04 18:30:00,49.1527777777778,2573.614036641,0.0483425962048332,6.01455300961747
"06111001204","SCE_2020/12/04",134.812860988739,2020-12-07 05:29:00,2020-12-11 11:45:00,102.266666666667,2573.614036641,0.052382703493758,7.06186212431833
"06111001204","SCE_2020/12/16",12.539537776132,2020-12-18 09:47:00,2020-12-24 16:03:00,150.266666666667,2573.614036641,0.00487234589087733,0.0610969653570377
"06111001204","SCE_2021/01/12",136.978381441797,2021-01-14 04:13:00,2021-01-21 18:01:00,181.8,2573.614036641,0.0532241352011651,7.29055589349494
"06111001204","SCE_2021/11/21",12.5868567866079,2021-11-21 05:41:00,2021-11-22 13:45:00,32.0666666666667,2573.614036641,0.0048907321017863,0.0615589445468502
"06111001204","SCE_2022/11/19",12.5868567866079,2022-11-19 08:13:00,2022-11-20 09:55:00,25.7,2573.614036641,0.0048907321017863,0.0615589445468502
