"zcta","psps_event_id","total_customers_impacted","outage_start","outage_end","duration","pop","pct_cust_out","hybrid"
"95937","PG&E_2020/10/25",1.78116490015051,2020-10-25 10:00:00,2020-10-28 22:25:00,84.4166666666667,1151.01257989358,0.00154747648398004,0.00275631079707357
"95937","PG&E_2021/08/17",6.47247712732058,2021-08-17 12:51:00,2021-08-20 10:30:00,69.65,1151.01257989358,0.00562328964981341,0.0363966136387159
"95937","PG&E_2021/09/20",1.78116490015051,2021-09-20 06:05:00,2021-09-21 16:46:00,34.6833333333333,1151.01257989358,0.00154747648398004,0.00275631079707357
"95937","PG&E_2021/10/11",6.92633268663628,2021-10-11 01:34:00,2021-10-14 15:22:00,85.8,1151.01257989358,0.00601759946644258,0.0416798958795063
"95938","PG&E_2019/06/07",0.129034906536384,2019-06-08 06:18:00,2019-06-09 17:45:00,35.45,3122.71717402993,4.13213555199628e-05,5.33189724747512e-06
"95939","PG&E_2019/10/09",227.689210741029,2019-10-09 00:09:00,2019-10-12 17:41:00,89.5333333333333,376.544478785014,0.604680784261417,137.679290518748
"95939","PG&E_2019/10/26",11.1175800887853,2019-10-26 16:00:00,2019-11-02 14:25:00,166.416666666667,376.544478785014,0.029525277132354,0.328249633162528
"95939","PG&E_2019/11/20",363.970669936659,2019-11-20 03:38:00,2019-11-21 21:55:00,42.2833333333333,376.544478785014,0.966607374276402,351.816733581097
"95939","PG&E_2020/10/21",71.6799505374156,2020-10-21 14:42:00,2020-10-23 15:56:00,49.2333333333333,376.544478785014,0.190362505828537,13.645175001968
"95939","PG&E_2020/10/25",363.117337192166,2020-10-25 10:00:00,2020-10-28 22:25:00,84.4166666666667,376.544478785014,0.96434115396892,350.168991974014
"95939","PG&E_2021/08/17",365.247974118912,2021-08-17 12:51:00,2021-08-20 10:30:00,69.65,376.544478785014,0.969999547722617,354.290369701947
"95939","PG&E_2021/10/11",364.821307746665,2021-10-11 01:34:00,2021-10-14 15:22:00,85.8,376.544478785014,0.968866437568876,353.46312078573
"95941","PG&E_2019/09/23",258.341733679164,2019-09-23 17:06:00,2019-09-26 11:01:00,65.9166666666667,655.270071039027,0.394252301603711,101.851823103303
"95941","PG&E_2019/10/05",119.168557570886,2019-10-05 22:03:00,2019-10-11 18:43:00,140.666666666667,655.270071039027,0.181861743482236,21.6722016481045
"95941","PG&E_2019/10/09",333.257713678586,2019-10-09 00:09:00,2019-10-12 17:41:00,89.5333333333333,655.270071039027,0.508580703449735,169.488442452706
"95941","PG&E_2019/10/23",332.539757372139,2019-10-23 13:54:00,2019-10-25 18:20:00,52.4333333333333,655.270071039027,0.507485038718231,168.758951645351
"95941","PG&E_2019/10/26",327.316827161988,2019-10-26 16:00:00,2019-11-02 14:25:00,166.416666666667,655.270071039027,0.499514385943156,163.499463928682
"95941","PG&E_2019/11/20",8.02284213531416,2019-11-20 03:38:00,2019-11-21 21:55:00,42.2833333333333,655.270071039027,0.0122435656531554,0.0982281944086208
"95941","PG&E_2020/09/07",327.423960317457,2020-09-07 04:25:00,2020-11-13 12:38:00,1617.21666666667,655.270071039027,0.499677880600098,163.606510549117
"95941","PG&E_2020/09/27",213.219173101393,2020-09-27 04:02:00,2020-10-13 17:27:00,397.416666666667,655.270071039027,0.325391289065443,69.3796615889301
"95941","PG&E_2020/10/14",247.490003425604,2020-10-14 10:30:00,2020-10-17 10:57:00,72.45,655.270071039027,0.377691602842737,93.474896081371
"95941","PG&E_2020/10/25",285.932962661979,2020-10-25 10:00:00,2020-10-28 22:25:00,84.4166666666667,655.270071039027,0.436358953810587,124.769408447143
